istat_code,comune,rate_per_person_night_eur,max_nights,min_age_exempt,valid_from,zone_or_notes,source_url,retrieved_at,verified
015146,Milano,9.50,14,18,2026-01-01,"Case e appartamenti per vacanze e locazioni brevi (art. 4 D.L. 50/2017). Tariffa fissata per il solo anno 2026 (incremento olimpico D.L. 156/2025; delib. G.C. n. 1418 del 13/11/2025) e confermata a 9,50 dal 01/04/2026 (delib. n. 144 del 12/02/2026). Nel 2025 era 6,30. Tariffa dal 2027 non nota. Esenti i minori fino al 18° anno di età (art. 19 Regolamento). Max 14 pernottamenti consecutivi. Non verificato alla fonte: estratto indicizzato (lettura diretta bloccata dal proxy).",https://www.comune.milano.it/-/turismo.-approvate-tariffe-imposta-di-soggiorno-in-vigore-dal-1-gennaio-2026,2026-09-23,U
058091,Roma,6.00,10,10,2023-10-01,"Contributo di soggiorno. Alloggi per uso turistico e immobili destinati alla locazione breve. Tabella della delib. G.Ca. n. 255 del 17/07/2023 (in vigore dal 01/10/2023, U). L'importo 6,00 per questa categoria viene da fonti terze che citano la tabella ufficiale: il PDF ufficiale non è leggibile da qui. Max 10 pernottamenti consecutivi nell'anno solare nella stessa struttura (U). Esenti i minori fino al compimento del 10° anno (U). Nessuna variazione 2026 trovata su comune.roma.it. Non verificato alla fonte: estratto indicizzato (lettura diretta bloccata dal proxy).",https://www.comune.roma.it/web-resources/cms/documents/Nuove_tariffe_contributo_di_soggiorno_dal_01.10.2023_logo.pdf,2026-09-23,T
058091,Roma,6.00,10,10,2023-10-01,"Contributo di soggiorno. Case e appartamenti per vacanze, categoria 1 (delib. G.Ca. n. 255 del 17/07/2023). Max 10 pernottamenti consecutivi nell'anno solare nella stessa struttura. Esenti i minori fino al compimento del 10° anno. Non verificato alla fonte: estratto indicizzato (lettura diretta bloccata dal proxy).",https://www.comune.roma.it/web-resources/cms/documents/Nuove_tariffe_contributo_di_soggiorno_dal_01.10.2023_logo.pdf,2026-09-23,U
058091,Roma,5.00,10,10,2023-10-01,"Contributo di soggiorno. Case e appartamenti per vacanze, categoria 2 (delib. G.Ca. n. 255 del 17/07/2023). Max 10 pernottamenti consecutivi nell'anno solare nella stessa struttura. Esenti i minori fino al compimento del 10° anno. Non verificato alla fonte: estratto indicizzato (lettura diretta bloccata dal proxy).",https://www.comune.roma.it/web-resources/cms/documents/Nuove_tariffe_contributo_di_soggiorno_dal_01.10.2023_logo.pdf,2026-09-23,U
013075,Como,3.00,4,14,2024-01-01,"Case e appartamenti per vacanze, locazioni turistiche e locazioni brevi (stessa tariffa di affittacamere, foresterie lombarde e B&B). Delib. G.C. n. 387 del 10-11/11/2023, in vigore dal 01/01/2024. Max 4 pernottamenti consecutivi. Esenti i minori di 14 anni. Nessuna variazione 2026 trovata sul sito del comune. Non verificato alla fonte: estratto indicizzato (lettura diretta bloccata dal proxy).",https://www.comune.como.it/export/sites/comune-di-como/.galleries/Settore-14/TARIFFE-IMPOSTA-DI-SOGGIORNO.pdf,2026-09-23,U
048017,Firenze,6.00,7,12,2025-02-01,"Locazioni turistiche e locazioni brevi: da 5,50 a 6,00 (allineate agli alberghi 3 stelle), delib. G.C. n. 535 del 10/12/2024. Decorrenza 01/02/2025 dedotta dalla regola 'primo giorno del secondo mese successivo alla pubblicazione' e riportata da fonti terze (D/T). Max 7 pernottamenti consecutivi. Esenti i minori fino al compimento del 12° anno. Nessuna variazione 2026 trovata. Non verificato alla fonte: estratto indicizzato (lettura diretta bloccata dal proxy).",https://servizi.comune.fi.it/sites/www.comune.fi.it/files/deliberazione_di_giunta_completa-dg_2024_00599_00535-1.pdf,2026-09-23,U
063049,Napoli,6.00,14,14,2026-05-01,"Locazioni brevi (equiparate alle strutture extralberghiere): +1,00 sui valori base di inizio 2026, delib. G.C. n. 89 del 12/03/2026, in vigore dal 01/05/2026. Tariffa 01/01-30/04/2026 non verificata (probabilmente 5,00). Max 14 pernottamenti consecutivi. Esenti i minori «entro il quattordicesimo anno di età»: formula ambigua sul quattordicenne, da chiarire. Non verificato alla fonte: estratto indicizzato (lettura diretta bloccata dal proxy).",https://www.comune.napoli.it/novita/napoli-aggiornate-le-tariffe-dellimposta-di-soggiorno-per-il-2026/,2026-09-23,U
001272,Torino,3.80,7,13,2026-04-01,"Locazioni brevi e turistiche, appartamenti per vacanze, affittacamere, case per ferie, B&B: da 2,30 a 3,80 dal 01/04/2026 (modifica Regolamento n. 349). Sul sito del comune l'aumento 2,30->3,80 è esplicito solo per i B&B (U); per le locazioni brevi viene da fonti terze (T). Max 7 pernottamenti, dal 01/04/2026 contati su base annua (prima trimestrale). Esenti i minori che non hanno compiuto il 13° anno. Il registro CasaZen usa 010025 (Genova): errato, difetto A5-34. Non verificato alla fonte: estratto indicizzato (lettura diretta bloccata dal proxy).",https://www.comune.torino.it/novita/comunicati/imposta-soggiorno-imu-2026,2026-09-23,T
027042,Venezia,5.00,5,10,2025-04-01,"Locazioni turistiche, alta stagione 01/02-31/12, Gruppo 1 (categoria catastale A/1, A/8, A/9); tariffa ridotta 50% = 2.50. Zona territoriale unica per le locazioni turistiche. Max 5 pernottamenti consecutivi. Esenti i minori di 10 anni; riduzione del 50% per i minori da 10 a 16 anni. Non verificato alla fonte: estratto indicizzato (lettura diretta bloccata dal proxy).",https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Tributi/ids/TARIFFE%20IDS%20-%20STRUTTURE%20con%20classificazione%20L.R.%2011_2013_valide%20dal%2001.04.2025.pdf,2026-09-23,U
027042,Venezia,4.00,5,10,2025-04-01,"Locazioni turistiche, alta stagione 01/02-31/12, Gruppo 2 (categoria catastale A/2, A/3, A/6, A/7, A/11); tariffa ridotta 50% = 2.00. Zona territoriale unica per le locazioni turistiche. Max 5 pernottamenti consecutivi. Esenti i minori di 10 anni; riduzione del 50% per i minori da 10 a 16 anni. Non verificato alla fonte: estratto indicizzato (lettura diretta bloccata dal proxy).",https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Tributi/ids/TARIFFE%20IDS%20-%20STRUTTURE%20con%20classificazione%20L.R.%2011_2013_valide%20dal%2001.04.2025.pdf,2026-09-23,U
